# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
,,,,,,,,,,
PAD,Bank,Pin/Ball Function,,Dual Function,,High Speed,,DQS,DESC,CABGA256
303,1,PT51B,,,/,-,,,PT51B/-,E11
304,1,PT53A,,,/,+,,,PT53A/+,A11
306,1,PT51A,,,/,+,,,PT51A/+,D11
307,1,PT49B,,,/,-,,,PT49B/-,C11
309,1,PT47B,,,/,-,,,PT47B/-,E10
310,1,PT49A,,,/,+,,,PT49A/+,B11
312,1,PT47A,,,/,+,,,PT47A/+,D10
313,1,PT44B,,,/,-,,,PT44B/-,C10
315,1,PT42B,,,/,-,,,PT42B/-,A10
316,1,PT44A,,,/,+,,,PT44A/+,B10
318,1,PT42A,,,/,+,,,PT42A/+,A9
319,1,PT40B,,,/,-,,,PT40B/-,E9
321,1,PT38B,/,GR_PCLK1_1,/,-,,,PT38B/GR_PCLK1_1/-,C9
322,1,PT40A,,,/,+,,,PT40A/+,D9
324,1,PT38A,/,GR_PCLK1_0,/,+,,,PT38A/GR_PCLK1_0/+,B9
325,1,PT35B,/,PCLKC1_0,/,-,,,PT35B/PCLKC1_0/-,B8
327,1,PT33B,/,PCLKC1_1,/,-,,,PT33B/PCLKC1_1/-,D8
328,1,PT35A,/,PCLKT1_0,/,+,,,PT35A/PCLKT1_0/+,C8
330,1,PT33A,/,PCLKT1_1,/,+,,,PT33A/PCLKT1_1/+,E8
333,0,PT29B,/,PCLKC0_0,/,-,,,PT29B/PCLKC0_0/-,A8
335,0,PT27B,/,PCLKC0_1,/,-,,,PT27B/PCLKC0_1/-,B7
336,0,PT29A,/,PCLKT0_0,/,+,,,PT29A/PCLKT0_0/+,A7
338,0,PT27A,/,PCLKT0_1,/,+,,,PT27A/PCLKT0_1/+,C7
339,0,PT24B,/,GR_PCLK0_0,/,-,,,PT24B/GR_PCLK0_0/-,D7
341,0,PT22B,,,/,-,,,PT22B/-,B6
342,0,PT24A,/,GR_PCLK0_1,/,+,,,PT24A/GR_PCLK0_1/+,E7
344,0,PT22A,,,/,+,,,PT22A/+,C6
345,0,PT20B,,,/,-,,,PT20B/-,D6
347,0,PT18B,,,/,-,,,PT18B/-,A6
348,0,PT20A,,,/,+,,,PT20A/+,E6
350,0,PT18A,,,/,+,,,PT18A/+,A5
351,0,PT15B,,,/,-,,,PT15B/-,B5
353,0,PT13B,,,/,-,,,PT13B/-,D5
354,0,PT15A,,,/,+,,,PT15A/+,C5
356,0,PT13A,,,/,+,,,PT13A/+,E5
357,0,PT11B,,,/,-,,,PT11B/-,B4
359,0,PT9B,,,/,-,,,PT9B/-,D4
360,0,PT11A,,,/,+,,,PT11A/+,C4
362,0,PT9A,,,/,+,,,PT9A/+,E4
363,0,PT6B,,,/,-,,,PT6B/-,A4
365,0,PT4B,,,/,-,,,PT4B/-,B3
366,0,PT6A,,,/,+,,,PT6A/+,A3
368,0,PT4A,,,/,+,,,PT4A/+,A2
0,-,GND,,,,,,,GND,A16
0,-,GND,,,,,,,GND,H16
0,-,GND,,,,,,,GND,T16
0,-,GND,,,,,,,GND,D15
0,-,GND,,,,,,,GND,N15
0,-,GND,,,,,,,GND,T12
0,-,GND,,,,,,,GND,G10
0,-,GND,,,,,,,GND,H10
0,-,GND,,,,,,,GND,J10
0,-,GND,,,,,,,GND,K10
0,-,GND,,,,,,,GND,F9
0,-,GND,,,,,,,GND,H9
0,-,GND,,,,,,,GND,J9
0,-,GND,,,,,,,GND,K9
0,-,GND,,,,,,,GND,F8
0,-,GND,,,,,,,GND,G8
0,-,GND,,,,,,,GND,H8
0,-,GND,,,,,,,GND,J8
0,-,GND,,,,,,,GND,K8
0,-,GND,,,,,,,GND,K7
0,-,GND,,,,,,,GND,K6
0,-,GND,,,,,,,GND,T5
0,-,GND,,,,,,,GND,D2
0,-,GND,,,,,,,GND,N2
0,-,GND,,,,,,,GND,A1
0,-,GND,,,,,,,GND,H1
0,-,GND,,,,,,,GND,T1
0,-,VCC,,,,,,,VCC,L10
0,-,VCC,,,,,,,VCC,G9
0,-,VCC,,,,,,,VCC,L9
0,-,VCC,,,,,,,VCC,L8
0,-,VCC,,,,,,,VCC,G7
0,-,VCC,,,,,,,VCC,G6
0,-,VCCAUX,,,,,,,VCCAUX,G11
0,-,VCCAUX,,,,,,,VCCAUX,L7
0,0,VCCIO0,,,,,,,VCCIO0,F7
0,0,VCCIO0,,,,,,,VCCIO0,F6
0,1,VCCIO1,,,,,,,VCCIO1,F11
0,1,VCCIO1,,,,,,,VCCIO1,F10
0,2,VCCIO2,,,,,,,VCCIO2,H11
0,2,VCCIO2,,,,,,,VCCIO2,J11
0,3,VCCIO3,,,,,,,VCCIO3,K11
0,3,VCCIO3,,,,,,,VCCIO3,L11
0,8,VCCIO8,,,,,,,VCCIO8,L6
0,6,VCCIO6,,,,,,,VCCIO6,J7
0,6,VCCIO6,,,,,,,VCCIO6,J6
0,7,VCCIO7,,,,,,,VCCIO7,H7
0,7,VCCIO7,,,,,,,VCCIO7,H6
